timestamp (ns),tx_act,ty_act,tz_act,qx_act,qy_act,qz_act,qw_act,tx_pend,ty_pend,tz_pend,qx_pend,qy_pend,qz_pend,qw_pend,alpha,phi,alphaD,phiD,k,u_tracking_fb,u_stabilizing_fb,u_ff,u_ilc,u_optimal,phase,alpha_optimal,alphaD_optimal,phi_optimal,phiD_optimal,N_j,relative_time
1763394261016299625,-0.0023232329661775,0.100145117186989,0.1064187718418736,0.5528824056443924,0.8332121050186219,-0.0026128943754878,0.0084738634806747,-0.0019662315920752,0.104870526129769,0.276560572168895,0.9541774558010604,-0.2979054459501009,-0.0027073741013109,0.02811402211997,-0.026319498775179,0.006862369909081286,0.24886946002129484,-0.1699470682669145,1023,0.0,-3.054150453696714e-05,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.26996064
1763394261026173717,-0.0021127479545933,0.1001280218973753,0.1064125710299428,0.5529625388733462,0.8331670231700878,-0.0028794621354266,0.0075399471117501,-0.0016021507067314,0.1048782512310174,0.2765680408689053,0.9541911669998668,-0.2978815568729385,-0.002110546194402,0.0279524683909644,-0.024466948211265424,0.005623970003534172,0.1852550563913577,-0.12383999055471141,1024,0.0,-0.00017583303994210455,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.279834732
1763394261036235670,-0.001920504792604,0.1001020323760413,0.1063981383536857,0.5530143968828406,0.8331364285465667,-0.0032653688762915,0.0069358225958749,-0.0012753728201013,0.1048303221269558,0.2765722416916253,0.9539512791534334,-0.2985983365035836,-0.0014801622740738,0.028527172282988,-0.023032547668529572,0.0048037790460993615,0.14344005427358517,-0.08201909574348104,1025,0.0,-0.0005397126061995937,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.289896685
1763394261046166731,-0.0017484042994678,0.1000700005884746,0.106407857546479,0.5530936284770094,0.8330897453844938,-0.0035301904187594,0.00603755156852,-0.0009861938225901,0.1048179894912617,0.2765839921775024,0.9540925675941612,-0.2981504983192188,-0.0011930009198331,0.0284996414431475,-0.021241517364850443,0.004213445212918165,0.17910303036791295,-0.05903338331811961,1026,0.0,-0.0014048358057504743,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.299827746
1763394261056155211,-0.0015866500460653,0.1000718413757098,0.1064046276432136,0.5531446765714237,0.8330568092385334,-0.0041530040745335,0.0054837869365655,-0.0007072121734345,0.1048443325596773,0.2765912041400552,0.9541188803852692,-0.2980652153060509,-0.000805155003627,0.0285243973177019,-0.019628986566353684,0.0034823981988201143,0.1612530798496759,-0.07310470140980511,1027,0.0,-0.0007524918627997567,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.309816226
1763394261066107294,-0.0014171224921257,0.1001321563767202,0.1064092827396983,0.5530551972747225,0.8331159923294796,-0.004602499936486,0.0051486975652986,-0.0004152918537787,0.1049170977674587,0.2765853380962249,0.9540648595950412,-0.2982289325917095,-0.0004890956588871,0.0286270542763384,-0.018574770128923303,0.002949306451449654,0.10542164374303803,-0.05330917473704601,1028,0.0,-0.0004789837536997813,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.319768309
1763394261076168219,-0.0012521162691019,0.1001542727327856,0.1063993135676796,0.553049018301661,0.8331208923336372,-0.0050970283597834,0.0045146887680793,-0.0001295964128202,0.1049905718925052,0.2765778624205562,0.9544229340838852,-0.2971196219729207,-0.0005500554487053,0.0282221645587227,-0.016971322554727258,0.0027608377681665325,0.16034475741960458,-0.018846868328312172,1029,0.0,-0.001899317157621002,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.329829234
1763394261086098545,-0.0010677423575789,0.1001243655573656,0.1064164588423345,0.5530750328512494,0.8331048822739462,-0.0054436897274353,0.0038248411803783,0.0001811766924206,0.1049867351552059,0.2765862021720344,0.9544635418357632,-0.296990901459574,-0.0002799027582416,0.0282076835455494,-0.015437881073783615,0.0022285937075740316,0.15334414809436425,-0.05322440605925009,1030,0.0,-0.0009279605983044089,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.33975956
1763394261096258960,-0.0008784448033125,0.1001119587423861,0.10642326953365,0.5530874382238616,0.8330961588307471,-0.0058833024115006,0.0032345901062362,0.0005237960555985,0.1049394386859039,0.2765870927299146,0.9542592122155026,-0.2976133089061001,0.0002308878332264,0.0285590783222975,-0.013967787489424264,0.001497606158876636,0.14700935843593513,-0.07309875486973955,1031,0.0,-0.0002752293351066695,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.349919975
1763394261106203078,-0.0006710190952695,0.1001264509058579,0.1064317428286727,0.5530613082507275,0.8331134052373526,-0.006261745193966,0.0024563951111861,0.0008739976587747,0.1049675280608234,0.2765851852329107,0.95437120045707,-0.297285171506394,0.0002210026063034,0.0282327770223383,-0.012252804594211466,0.0013027985672708457,0.17149828952127982,-0.019480759160579036,1032,0.0,-0.0017859701732386595,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,60,10.359864093
